Comment,Designator,Footprint,LCSC
4u7,"L1,L2",Inductor_SRN4018TA_bourns,C1330726
100n,C3,C_0603,C14663
Q_NPN_BEC,"Q1,Q2",SOT-23,C150094
NRVTS245,"D1,D2",D_SOD-123F,C154804
6p8,C8,C_0603,C1679
4u7,"C11,C2",C_0805,C1779
220n,C7,C_0603,C21120
1k,"R10,R11,R6,R7,R8,R9",R_0603,C21190
100,R1,R_0603,C22775
1M,"R3,R4",R_0603,C22935
51k,R12,R_0603,C23196
100k,R2,R_0603,C25803
110k,R5,R_0603,C25805
USB_C_Receptacle,"J1,J4",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369
22u,C1,CP_Elec_7.3x4.3,C465932
7p5,C6,C_0603,C53424
LED,"D3,D4",C_0805,C5353439
4n7,C5,C_0603,C53987
10n,C4,C_0603,C57112
6u8,"C12,C13,C14,C15,C16,C17,C18,C19",C_1206,C7393982
TPS65131,U1,QFN-24-4x4mm_Pitch0.5mm_handsolder_big_thermal_hole,C87663
