Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,CP_Elec_7.3x4.3,43.39,-74.93,180.0,top
C11,4u7,C_0805,45.14,-54.35,-90.0,top
C12,6u8,C_1206,38.49,-67.55,-90.0,top
C13,6u8,C_1206,36.54,-40.8,0.0,top
C14,6u8,C_1206,36.54,-38.5,0.0,top
C15,6u8,C_1206,36.19,-67.55,90.0,top
C16,6u8,C_1206,36.54,-43.1,0.0,top
C17,6u8,C_1206,43.09,-67.55,-90.0,top
C18,6u8,C_1206,37.09,-45.4,0.0,top
C19,6u8,C_1206,40.79,-67.55,-90.0,top
C2,4u7,C_0805,44.89,-59.35,180.0,top
C3,100n,C_0603,45.24,-50.95,90.0,top
C4,10n,C_0603,36.64,-58.75,180.0,top
C5,4n7,C_0603,35.44,-57.2,180.0,top
C6,7p5,C_0603,34.69,-51.85,-90.0,top
C7,220n,C_0603,35.44,-55.65,0.0,top
C8,6p8,C_0603,36.64,-63.55,0.0,top
D1,NRVTS245,D_SOD-123F,40.99,-59.35,0.0,top
D2,NRVTS245,D_SOD-123F,37.44,-47.65,180.0,top
D3,LED,C_0805,35.49,-71.85,90.0,top
D4,LED,C_0805,35.5,-75.35,90.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,37.42,-82.33,-90.0,top
J4,USB_C_Receptacle,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,38.65,-115.18,0.0,top
L1,4u7,Inductor_SRN4018TA_bourns,43.63,-62.63,0.0,top
L2,4u7,Inductor_SRN4018TA_bourns,42.24,-46.8,-90.0,top
Q1,Q_NPN_BEC,SOT-23,57.74,-113.35,180.0,top
Q2,Q_NPN_BEC,SOT-23,57.74,-117.35,180.0,top
R1,100,R_0603,46.84,-52.45,-90.0,top
R10,1k,R_0603,57.89,-120.05,0.0,top
R11,1k,R_0603,55.04,-117.55,-90.0,top
R12,51k,R_0603,35.49,-49.6,0.0,top
R2,100k,R_0603,35.44,-54.15,180.0,top
R3,1M,R_0603,36.29,-51.8,-90.0,top
R4,1M,R_0603,36.64,-61.95,0.0,top
R5,110k,R_0603,36.64,-60.35,180.0,top
R6,1k,R_0603,37.73,-71.87,90.0,top
R7,1k,R_0603,37.72,-75.29,-90.0,top
R8,1k,R_0603,51.34,-35.55,0.0,top
R9,1k,R_0603,55.14,-113.05,-90.0,top
U1,TPS65131,QFN-24-4x4mm_Pitch0.5mm_handsolder_big_thermal_hole,40.44,-54.65,180.0,top
