"Footprint","Part Value","LCSC Part"
"CP_Elec_7.3x4.3","22u","C465932"
"C_0603","100n","C14663"
"C_0603","10n","C57112"
"C_0603","4n7","C53987"
"C_0603","7p5","C53424"
"C_0603","220n","C21120"
"C_0603","6p8","C1679"
"C_0805","4u7","C1779"
"C_0805","LED","C5353439"
"C_1206","6u8","C7393982"
"D_SOD-123F","NRVTS245","C154804"
"Inductor_SRN4018TA_bourns","4u7","C1330726"
"QFN-24-4x4mm_Pitch0.5mm_handsolder_big_thermal_hole","TPS65131","C87663"
"R_0603","100","C22775"
"R_0603","1k","C21190"
"R_0603","100k","C25803"
"R_0603","1M","C22935"
"R_0603","110k","C25805"
"R_0603","51k","C23196"
"SOT-23","Q_NPN_BEC","C150094"
"USB_C_Receptacle_G-Switch_GT-USB-7010ASV","USB_C_Receptacle","C2988369"
